FIPS,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013
20155,51.4,4
20157,6.9,9
20159,13.9,7
20161,116.6,3
20163,5.8,9
20165,4.6,9
20167,7.9,7
20169,77.2,5
20171,6.9,7
20173,499.6,2
20175,35.9,5
20177,327.1,3
20179,2.9,9
20181,5.7,7
20183,4.3,9
20185,5.6,9
20187,3.3,9
20189,7.9,7
20191,20.4,2
20193,7.4,7
20195,3.4,9
20197,8.9,3
20199,1.6,9
20201,6.5,9
20203,3.1,9
20205,16.5,7
20207,6.6,9
20209,1039,1
21000,109.9,NA
21001,46,7
21003,58,3
21005,106.1,6
21007,33.4,9
21009,86.5,6
21011,41.6,8
21013,79.9,7
21015,482.3,1
21017,69,2
21019,309.9,2
21021,157.8,7
21023,41.3,1
21025,28.2,7
21027,35.4,8
21029,250.2,1
21031,29.8,3
21033,37.7,7
21035,96.6,7
21037,597,1
21039,26.9,9
21041,84.1,6
21043,67.7,6
21045,35.9,9
21047,103.1,2
21049,141.1,2
21051,46.3,7
21053,52.1,9
21055,25.9,7
21057,22.5,9
21059,210.9,3
21061,40.2,3
21063,33.5,9
21065,58,6
21067,1042.8,2
21069,41.2,7
21071,100.3,7
21073,237.2,4
21075,33.2,9
21077,84.8,1
21079,73.5,6
21081,95.6,1
21083,67.3,7
21085,51.8,6
21087,39.4,8
21089,107.2,2
21091,45.6,3
21093,169.3,3
21095,62.9,7
21097,61.5,6
21099,44.2,8
21101,105.9,2
21103,53.9,1
21105,20.2,9
21107,86.6,5
21109,39.1,9
21111,1948.1,1
21113,282.3,2
21115,89.2,7
21117,996.7,1
21119,46.5,9
21121,82.5,7
21123,54.3,3
21125,135.6,5
21127,38.2,6
21129,37.8,9
21131,28.2,9
21133,72.6,9
21135,28.7,8
21137,74.1,7
21139,30.4,9
21141,48.6,6
21143,38.9,9
21145,263.6,5
21147,42.9,9
21149,37.8,3
21151,189.6,4
21153,43.2,9
21155,57.8,7
21157,104.4,7
21159,56.3,9
21161,72.8,6
21163,93.6,3
21165,31,9
21167,85.7,6
21169,34.9,9
21171,33.3,8
21173,134.3,6
21175,36.5,9
21177,67.4,6
21179,104,6
21181,36.6,8
21183,40.6,6
21185,322.2,1
21187,30.9,8
21189,24.1,9
21191,53.7,1
21193,84.5,7
21195,82.6,7
21197,70.5,6
21199,95.8,5
21201,22.8,8
21203,53.9,7
21205,83.4,7
21207,69.2,9
21209,167.4,2
21211,110.8,1
21213,74,6
21215,91.4,1
21217,92,7
21219,33.3,8
21221,32.5,2
21223,58.1,1
21225,43.8,6
21227,210.1,3
21229,39.4,9
21231,45.4,7
21233,41,8
21235,81.4,7
21237,33.1,9
21239,132.1,2
22000,104.9,NA
22001,94.3,2
22003,33.8,6
22005,369.7,2
22007,69.2,6
22009,50.5,6
22011,30.8,6
22013,17.7,6
22015,139.3,2
22017,290.2,2
22019,181.2,3
22021,19.1,8
22023,5.3,3
22025,14.7,9
22027,22.8,6
22029,29.9,7
22031,30.4,2
22033,966.6,2
22035,18.4,7
22037,44.7,2
22039,51.3,6
22041,33.2,7
22043,34.7,3
22045,127.6,2
22047,54,2
22049,28.6,6
22051,1463.1,1
22053,48.5,6
22055,824.6,2
22057,90.2,3
22059,23.8,6
22061,99.1,4
22063,197.5,2
22065,19.4,7
22067,35.2,6
22069,31.6,6
22071,2029.4,1
22073,251.8,3
22075,29.5,1
22077,40.9,2
22079,99.9,3
22081,23.4,8
22083,37.1,6
22085,28,6
22087,95.1,1
22089,189.1,1
22091,27.4,2
22093,91.5,1
22095,215.5,1
22097,90.3,4
22099,70.7,2
22101,98.4,4
22103,276.4,1
22105,153,3
22107,8.7,9
22109,90.8,3
22111,25.9,3
22113,49.4,2
22115,39.4,5
22117,70.4,6
22119,69.5,2
22121,123.6,2
22123,32.3,9
22125,38.8,2
22127,16.1,6
23000,43.1,NA
23001,230.2,3
23003,10.8,7
23005,337.2,2
23007,18.1,6
23009,34.3,6
23011,140.8,4
23013,108.8,7
23015,75.6,8
23017,27.8,6
23019,45.3,3
23021,4.4,8
23023,139.1,2
23025,13.3,6
23027,53.1,6
23029,12.8,7
23031,199,2
24000,594.8,NA
24001,177,3
24003,1295.9,1
24005,1345.5,1
24009,416.3,1
24011,103.5,6
24013,373.4,1
24015,292,1
24017,320.2,1
24019,60.3,6
24021,353.5,1
24023,46.5,6
24025,560.1,1
24027,1144.9,1
24029,72.9,6
24031,1978.2,1
24033,1788.8,1
24035,128.5,1
24037,294.4,3
24039,82.8,2
24041,140.7,6
24043,322.1,2
24045,263.7,2
24047,109.9,2
24510,7671.5,1
25000,839.4,NA
25001,548.3,3
25003,141.6,3
25005,991.3,1
25007,160.2,7
25009,1508.8,1
25011,102.1,4
25013,751,2
25015,299.8,2
25017,1837.9,1
25019,226.2,7
25021,1693.6,1
25023,750.9,1
25025,12415.6,1
25027,528.6,2
26000,174.8,NA
26001,16.2,9
26003,10.5,7
26005,135,4
26007,51.8,7
26009,49.6,9
26011,43.8,8
26013,9.9,9
26015,107,2
26017,243.7,3
26019,54.8,9
26021,276.2,3
26023,89.4,6
26025,192.8,3
26027,106.7,2
26029,62.3,7
26031,36.6,7
26033,24.7,7
26035,54.8,6
26037,133.1,2
26039,25.3,7
26041,31.7,5
26043,34.4,7
26045,187.4,2
26047,69.9,7
26049,668.5,2
26051,51.2,6
26053,14.9,7
26055,187.3,5
26057,74.7,6
26059,78.1,6
26061,36.3,5
26063,39.6,7
26065,505.1,2
26067,111.9,4
26069,47.1,7
26071,10.1,7
26073,122.8,4
26075,228.4,3
26077,445.7,2
26079,30.6,7
26081,711.5,2
26083,4,9
26085,20.3,9
26087,137.4,1
26089,62.5,9
26091,133.3,4
26093,320.2,1
26095,7.4,7
26097,10.9,7
26099,1754.9,1
26101,45.6,7
26103,37.1,5
26105,58,7
26107,77.1,6
26109,23,7
26111,162,3
26113,26.3,9
26115,276.7,3
26117,89.8,2
26119,17.9,9
26121,344.9,3
26123,59.6,6
26125,1385.7,1
26127,51.9,6
26129,38.5,9
26131,5.2,9
26133,41.5,9
26135,15.3,9
26137,46.9,7
26139,468.2,2
26141,20.3,7
26143,47.1,7
26145,250.2,3
26147,226.1,1
26149,122.4,4
26151,44.8,6
26153,7.2,7
26155,133.1,4
26157,69.4,6
26159,125.5,2
26161,488.4,2
26163,2974.4,1
26165,57.9,7
27000,66.6,NA
27001,8.9,8
27003,782.1,1
27005,24.7,6
27007,17.7,7
27009,94.2,3
27011,10.6,9
27013,85.6,3
27015,42.4,6
27017,41.1,2
27019,256.9,1
27021,14.1,9
27023,21.4,7
27025,129.9,1
27027,56.4,3
27029,8.7,8
27031,3.6,9
27033,18.3,7
27035,62.6,4
27037,709,1
27039,45.7,3
27041,56.5,6
27043,20.4,6
27045,24.2,3
27047,44.2,7
27049,61,4
27051,11,9
27053,2081.7,1
27055,34.5,3
27057,22.1,7
27059,86.8,1
27061,16.9,6
27063,14.6,7
27065,31.1,6
27067,53,4
27069,4.1,9
27071,4.3,6
27073,9.5,9
27075,5.2,6
27077,3.1,9
27079,61.7,1
27081,11,9
27083,36.2,7
27085,74.6,6
27087,9.7,8
27089,5.3,8
27091,29.3,7
27093,38.3,6
27095,45.6,1
27097,29.5,6
27099,55.1,4
27101,12.4,9
27103,73,3
27105,29.9,7
27107,7.9,8
27109,220.8,3
27111,29.1,6
27113,22.6,6
27115,21.1,6
27117,20.6,6
27119,16,3
27121,16.4,8
27123,3341.6,1
27125,9.5,8
27127,18.3,7
27129,16,8
27131,129.4,4
27133,20.1,6
27135,9.3,7
27137,32,2
27139,364.5,1
27141,204.4,1
27143,25.9,1
27145,112.2,3
27147,85.1,5
27149,17.3,7
27151,13.2,7
27153,26.3,6
27155,6.2,9
27157,41.4,3
27159,25.8,7
27161,45.2,6
27163,619.7,1
27165,25.8,6
27167,8.8,6
27169,82.2,4
27171,188.5,1
27173,13.8,9
28000,63.2,NA
28001,69.8,5
28003,92.6,7
28005,18,8
28007,26.6,6
28009,21.5,1
28011,39,7
28013,25.5,9
28015,16.9,9
28017,34.7,7
28019,20.4,9
28021,19.7,8
28023,24.2,9
28025,50.3,7
28027,47.3,7
28029,37.9,2
28031,47.3,8
28033,338.7,1
28035,160.7,3
28037,14.4,9
28039,47.2,6
28041,20.2,8
28043,51.9,7
28045,92.7,2
28047,326,2
28049,282,2
28051,25.4,6
28053,22.4,6
28055,3.4,8
28057,43.9,7
28059,193.2,2
28061,25.2,9
28063,14.9,8
28065,30.6,8
28067,97.5,4
28069,13.6,9
28071,75,4
28073,112,3
28075,114.1,5
28077,30,8
28079,40.8,6
28081,184.3,5
28083,54.5,5
28085,59.5,6
28087,118.3,5
28089,133.2,2
28091,49.9,6
28093,52.6,1
28095,48.3,7
