SUPERCOUNTY,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,test,fatality_rate
26000_1,0.11096725707551199,0.14279809383913777,0.2166942798093839,0.12295762378943412,0.10509163577980084,0.11005858541001247,0.10437426341230122,0.05705501562846944,0.030003245255948212,0.9999999999999999,0.0078031230068150385
26000_2,0.09838517846414163,0.11866547322731341,0.16040315362261975,0.1105974962296308,0.10396409872849663,0.1294677342226909,0.14581213139276825,0.08417425849405936,0.04853047561827924,1.0,0.011292664828279607
26000_4,0.11045087577791426,0.12633327660078292,0.12248236974329754,0.11539844750142447,0.11981544654683765,0.14779298045686967,0.13570968720631654,0.07977607909010856,0.04224083707644835,1.0,0.010546471306525971
27000_0,0.12214652090565256,0.1299168436868556,0.12213745401792653,0.11652634578519247,0.10644655717320346,0.13335707994404433,0.13390627428630641,0.08220947101186467,0.053353453188953945,0.9999999999999999,0.01137646387324491
27000_1,0.13541958665681303,0.14670095837752117,0.1078953919860115,0.13441004600760978,0.13740926385864077,0.14658530226431146,0.10540780541545047,0.056140261461226776,0.030031383972415036,1.0,0.00803219097509865
27000_2,0.11244642291101034,0.12515676897421407,0.13643379870174616,0.11636392453038216,0.10497319422814537,0.13218208630218167,0.14227387367521604,0.08017268705467276,0.0499972436224314,1.0,0.011183430005581666
27000_4,0.13301381386699726,0.14065239528911716,0.13445386522624636,0.13272159744974765,0.11900734968564597,0.1312682635260781,0.10720579119808732,0.06213694323917471,0.03953998051890552,1.0,0.008950779558686797
28000_0,0.1242618580335898,0.13612640464074197,0.14189114866468672,0.11917446781411559,0.1163318975748418,0.12909885891936018,0.11962241867412335,0.07420353034487151,0.039289415333669114,1.0,0.009660519757672336
28000_4,0.1271192022726645,0.1380363209862378,0.13112866179242177,0.13361996613100968,0.1288338995871553,0.12948833177162017,0.11123328595074336,0.06787077939048566,0.03266955211766181,0.9999999999999999,0.00874270914568978
29000_0,0.1229952081204699,0.13122584620929917,0.12480324516488164,0.11996849015826137,0.11727678227542335,0.13362614619229435,0.12459758821810973,0.08119307190435426,0.04431362175690622,1.0,0.010471068644073956
29000_1,0.12345807448800641,0.1273909134143804,0.1579581933834676,0.1357117379544036,0.12109688493891746,0.1224251701691288,0.10700591504919299,0.06679324079303273,0.038159869809470025,1.0,0.008998021590858425
29000_4,0.1247368932353227,0.13204631398666566,0.14700876842646862,0.1305261415685301,0.11881361786643352,0.13106584775248353,0.11390588963368342,0.06641894152823204,0.035477586002180414,1.0,0.008946273050131508
30000_0,0.12299790498073934,0.12252839302419054,0.12020573160277866,0.12023418687287252,0.10646539305620271,0.13218184340353484,0.14266405352436307,0.08717271993256101,0.04554977360275732,1.0,0.011144299452591742
30000_1,0.12860238420852144,0.12719109262693817,0.12905199922566302,0.13632701998913432,0.11672505417236492,0.12659785059043194,0.12170828727901734,0.07136389466519293,0.04243241724273591,1.0,0.00982010508127416
30000_2,0.11353649435429336,0.12023698227482507,0.16550232105763713,0.1360950731072536,0.11430434278909493,0.11936675404871662,0.1267488758429494,0.07121861587910563,0.03299054064612425,1.0,0.009138123279009178
31000_0,0.1372993001235076,0.13929812276118397,0.12116635821825836,0.12086624625340993,0.11132230101230076,0.12780344974856003,0.12056998187785443,0.07180563517927842,0.04986860482564649,1.0,0.01038103569774108
31000_1,0.1360171087694402,0.1413327061712352,0.16599333108777414,0.13938943378025276,0.11898208402510509,0.11330573554354824,0.0998283940996271,0.054596985237109125,0.030554221285908185,1.0,0.007693347636283187
31000_4,0.14418343218203666,0.14336938403690352,0.1365275031980463,0.11747490018219173,0.1077644687366748,0.12480133348839012,0.1145094390820638,0.06909718184284994,0.04227235725084312,1.0,0.0095343254913362
32000_0,0.10780864432202278,0.11134765989507373,0.10905974162421461,0.11447885922044887,0.10518203120139902,0.13871973346788966,0.15451397289058774,0.1136217538863506,0.045267603492013024,1.0,0.012510523298749594
32000_1,0.11096473815281338,0.11309416392969285,0.12556393691124987,0.12108853358357094,0.11482657812105244,0.137456238495687,0.13736600858988704,0.09297289493629768,0.0466669072797488,1.0,0.011423802602230484
32000_2,0.14909164428270225,0.1464055685526962,0.13327845651734396,0.1423331311555902,0.12103226179129481,0.12887386997082864,0.1037605060220085,0.05195967998151518,0.023264881726020273,0.9999999999999999,0.00717666208012015
33000_0,0.08759483064817261,0.10247629803007258,0.09805010883325288,0.10111929763845502,0.11027221974298959,0.1608546370251637,0.1755812788590268,0.10966202493602062,0.0543893042868462,1.0,0.013583416998023696
33000_1,0.09914674456145744,0.13448381889461142,0.1793988777000538,0.12130832500576523,0.11319086786071181,0.13792758859251286,0.11517411023137827,0.06423245445460835,0.03513721269890076,1.0,0.008884379785533091
33000_2,0.08417793419909562,0.1232708885572361,0.1483638874657519,0.11254538569487448,0.10567349029915576,0.14032254471743924,0.14628115741875125,0.09038157396476065,0.04898313768293498,0.9999999999999999,0.011668051241841712
33000_4,0.09761087864563521,0.11982169302985202,0.1254205614379785,0.1185660101414859,0.11726600903353043,0.15198194771188725,0.14226517806691313,0.08147535353013086,0.04559236840258671,1.0,0.01103088247546802
35000_0,0.13740628575274244,0.1394279561208695,0.1436301231576822,0.1274863718958207,0.10474998317518003,0.11657850461000066,0.11483679924624807,0.07419880207281782,0.041685173968638536,1.0,0.009669674789151355
35000_1,0.09159913632243963,0.10917923975049315,0.10771312043503758,0.11391747081089726,0.11485045582982353,0.13961454390360933,0.16633123633843366,0.11148504558298236,0.04530975102628352,1.0,0.012670021565282297
35000_2,0.12744391717790285,0.13889940563052053,0.14113977791092175,0.12131459678812584,0.11047112143589669,0.12056106714500484,0.12116389085950163,0.0791242882820627,0.03988193477006319,1.0,0.009888677465971704
35000_4,0.12284189599246625,0.1374646855707858,0.12808674270168463,0.11855184681385372,0.11512503923825468,0.1356728052736214,0.1258632416030135,0.0797059746782463,0.03668776812807366,0.9999999999999999,0.009845994810086845
36000_0,0.10297426031371698,0.12746962903200781,0.13092641149364653,0.10747055994290414,0.10977301289311592,0.14707771554466045,0.13924254883403409,0.08587032411214374,0.04919553783377034,1.0,0.011393408412331467
36000_1,0.10955766989934948,0.12001174408896147,0.12823994641759412,0.12854272371113212,0.1247313998403538,0.14598636584672128,0.12555348606765696,0.07447954418254718,0.042897119945683584,1.0,0.010184539455367873
36000_2,0.10013501645103359,0.13710068556896982,0.1348919212972066,0.10934366274725707,0.11138201790606525,0.14008939924233488,0.13430859779516824,0.08473265431856017,0.04801604467340438,1.0,0.01112193032757875
36000_4,0.10619071990216084,0.12183302204704521,0.12436806667951691,0.11556586529833635,0.11596666024154044,0.148938192501213,0.13683790735854198,0.08314201966088627,0.04715754631075898,1.0,0.011096771622654551
37000_0,0.11171795959788011,0.12330360020497078,0.11833931937646222,0.11278454959372969,0.12329664418325871,0.14222591149003394,0.1348934917142188,0.08876076927417005,0.044677754565275694,1.0,0.01107414721051936
37000_1,0.120707912737888,0.1388390281094436,0.1298106200798405,0.12342296237607811,0.13548792080665445,0.1362732714820491,0.11178852332547057,0.06890601553619452,0.034763745546381175,1.0,0.009003102807264112
37000_3,0.09865298883083265,0.15048586905161374,0.19042368876988502,0.11338314147383702,0.12366206249529196,0.12470981393851822,0.11047272079820855,0.060427181274695776,0.027782533367117043,0.9999999999999999,0.007993147158402214
37000_4,0.1194922013342816,0.12826504042099646,0.1429779376125938,0.11718921710053373,0.11938038734668767,0.13089002974348046,0.12306545005369951,0.0797190541592404,0.03902068222848637,1.0,0.009955676145181586
38000_0,0.15113296280461735,0.13007695596408722,0.13608617167830506,0.13551612749988123,0.10143223599828988,0.1239252292052634,0.11278561588523112,0.060484062514844894,0.04856063844947983,1.0,0.009621770902807468
38000_1,0.13344809127454788,0.12574391485520556,0.13552632960020153,0.14378680213701678,0.11464948096522624,0.1235082342321539,0.11485940402842358,0.06320783432871852,0.04526990857850598,1.0,0.009546715747378585
38000_2,0.14368784688826336,0.1232297117242718,0.1954530614405845,0.14151276372331884,0.10154947100918564,0.10861738831190604,0.09738901781538706,0.05220640789206646,0.036354331195016285,1.0,0.007950157851476673
39000_0,0.12086972826227886,0.13194977749142778,0.11909993237973467,0.11524717301412844,0.12142575035555493,0.13918803819447906,0.1293910785133116,0.07839163503407942,0.04443688675500519,1.0,0.010487338252275451
39000_1,0.11815561321468511,0.1355217556589811,0.1160400234737452,0.1228621729454014,0.1302017782469246,0.14151346603135,0.12302826076525886,0.07359314389479629,0.03908378576885743,1.0000000000000002,0.0097752703759121
39000_3,0.07738004801118235,0.1692242243763104,0.24987085599683978,0.11159561214257498,0.09763286638913368,0.1070375885016257,0.10361907077091373,0.055683855480263764,0.02795587833115561,1.0,0.007542141850253731
39000_4,0.11689623448728424,0.1275098592999093,0.12258825118858444,0.11743021288367633,0.12148651865385976,0.13811302971621942,0.1301636675952315,0.08038385326531006,0.04542837290992492,1.0,0.010661101447049287
40000_0,0.12857702861622894,0.13622716958101988,0.13600713827867195,0.12616479070680425,0.11547300650192499,0.12607562012637905,0.11571388287502163,0.075377512916706,0.040383850397243355,1.0,0.009705484471059225
40000_1,0.11353397072450287,0.13824737546552868,0.1859665067863343,0.1423195310808076,0.11786174552400158,0.11425112454689725,0.09984059303650739,0.058906020896868305,0.029073131938551988,1.0,0.0077743744568979905
40000_4,0.13156762604943584,0.13734777589886227,0.12171538831787843,0.12531041151088942,0.12018196610285004,0.1279853813748834,0.11833759993866311,0.07674352235601804,0.04081032845051945,1.0,0.009861785990910213
41000_1,0.11320259221769575,0.12060117200506831,0.1337251466945457,0.1377346960371558,0.12881529091532634,0.12572820939853435,0.12551823023578057,0.0765088720351524,0.038165790460740825,1.0,0.009797262183860858
