FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
19161,Sac County,Iowa,True,,2.351,1.133,5.852,2.269,-3.779,,,3.5410000000000004,8.109,1.147,3.418,7.4689999999999985,,,2.351,-2.355,4.676,4.5680000000000005,3.72,,,-8.361,-9.331,-15.321,-20.716,-21.276,,,-19.074,-24.444000000000006,-20.026,-26.462,-22.526,,,-22.645,-27.932,-27.084,-27.611,-27.525,,
19163,Scott County,Iowa,False,-0.202,2.861,0.425,0.122,-0.177,0.504,2.314,4.085,1.866,1.268,0.72,0.062,1.633,1.818,-0.406,0.624,1.63,0.959,-0.35600000000000004,-1.941,-0.988,-3.672,-17.02,-22.292,-28.217,-30.131,-32.043,-22.115,-30.005,-34.044000000000004,-36.633,-37.963,-39.458,-39.192,-28.717,-31.23,-38.889,-41.63399999999999,-41.849,-43.523,-41.826,-30.038,-33.679
19165,Shelby County,Iowa,True,,6.784,1.859,1.876,1.824,8.236,,,4.843,2.793,6.5920000000000005,4.5760000000000005,-2.072,,,8.726,-5.617000000000001,4.706,4.5760000000000005,12.359000000000002,,,-1.952,-15.896,-18.876,-24.777,-18.564,,,-21.366,-28.043000000000006,-28.308000000000003,-30.28,-24.749,,,-30.102,-32.715,-33.967,-37.619,-30.933000000000003,,
19167,Sioux County,Iowa,False,4.03,4.56,1.365,1.381,0.8240000000000001,4.297,-0.958,-1.374,1.695,-1.412,-1.709,-0.024,-0.6409999999999999,-5.63,-5.428,-1.169,-0.579,-1.147,0.541,-1.258,0.911,-1.374,-8.618,-18.632,-18.841,-21.488000000000003,-19.773,-4.6960000000000015,-22.992,-22.369,-29.186,-29.793000000000006,-28.267,-28.105,-11.236,-22.992,-26.953000000000007,-31.962,-32.603,-33.351,-31.5,-12.171,-32.451
19169,Story County,Iowa,False,8.531,2.371,0.523,3.447,1.588,16.874000000000002,14.665,8.124,2.371,1.051,4.742,2.755,13.524,20.842,11.376,2.047,0.7340000000000001,3.878,-3.189,1.026,-2.707,-15.449000000000002,-31.425,-37.656,-43.255,-47.342,-39.044,-23.166,-39.835,-48.484,-52.422,-51.236,-52.65,-43.81100000000001,-31.273000000000003,-43.493,-51.831,-54.215,-53.178,-54.348,-47.806,-32.817,-39.835
19171,Tama County,Iowa,False,4.232,2.661,2.661,-0.6890000000000001,-0.6759999999999999,14.148,10.69,6.359,0.648,-0.023,-0.023,-0.6759999999999999,10.999,7.119,4.232,-2.036,1.99,0.644,-0.023,6.276,-7.164,-2.15,-12.101,-20.153,-28.684,-32.044000000000004,-23.641,-19.662,-36.187,-34.916,-37.6,-39.349,-41.192,-35.45,-26.804,-36.187,-39.613,-41.62600000000001,-42.01600000000001,-44.459,-33.875,-21.448,-40.441
19173,Taylor County,Iowa,True,,8.732000000000001,6.2860000000000005,0.038,-2.003,,,,6.559,4.204,6.159,-2.003,,,,8.732000000000001,6.2860000000000005,4.119,4.119,,,,-2.136,-2.045,-8.124,-10.165,,,,-6.483,-12.46,-18.327,-18.327,,,,-15.177,-18.709,-24.448,-20.367,,,
19175,Union County,Iowa,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19177,Van Buren County,Iowa,True,,1.814,3.5660000000000003,3.5660000000000003,8.615,14.577,,,7.267,3.5660000000000003,1.781,6.891,16.66,,,3.631,-0.005,5.352,-3.452,12.494000000000002,,,-7.276,-14.288,-14.288,-15.519,-4.171,,,-21.819000000000006,-23.215,-19.644,-18.967,-12.502,,,-18.183,-19.644,-23.215,-34.481,-22.917,,
19179,Wapello County,Iowa,False,12.225,5.846,2.847,2.531,3.124,9.565,-3.307,12.225,5.846,4.852,3.381,2.839,7.968,16.427,15.285,1.155,1.128,3.381,3.124,-6.726,-10.542,4.063,-12.626,-16.061,-20.128,-19.729,-19.504,-1.992,-10.221,-22.595,-24.942,-27.209,-26.014,-21.42,-5.28,-18.383,-25.234,-25.515,-28.625,-26.871,-25.253,-23.698,-19.403
19181,Warren County,Iowa,False,10.882,3.588,0.93,1.53,2.474,19.455,-1.4340000000000002,2.701,7.001,1.121,2.3080000000000003,0.16699999999999998,17.576,-0.026,7.246,1.781,-1.364,2.698,-5.025,4.668,-4.251,-3.661,-23.516,-31.569000000000006,-34.456,-39.635,-32.18,-20.445,-24.568,-39.577,-43.422,-43.209,-43.672,-34.996,-26.782,-31.839,-43.593,-47.628,-45.155,-47.13399999999999,-39.69,-23.966,-32.748000000000005
19183,Washington County,Iowa,False,9.538,2.18,1.2919999999999998,6.48,0.015,6.557,0.015,7.951,3.911,3.845,3.895,1.265,8.426,5.078,6.364,0.449,0.866,1.74,-0.8170000000000001,6.557,1.2819999999999998,0.015,-16.432000000000002,-21.683000000000003,-23.687,-28.729,-26.616,-15.172,-30.138,-29.849,-34.872,-34.461,-36.645,-32.689,-17.703,-30.138,-34.178000000000004,-37.851,-37.909,-39.978,-37.362,-22.765,-28.551
19185,Wayne County,Iowa,True,,,8.732000000000001,4.119,6.2860000000000005,,,,,,8.199,10.452,,,,,,6.159,10.452,,,,,-6.483,-14.246,-20.792,,,,-20.889,-21.698,-24.448,-24.958,,,,-18.564,-30.392,-32.61,-31.207,,,
19187,Webster County,Iowa,False,0.0,2.367,2.029,3.78,3.715,0.901,-1.449,0.901,2.959,2.899,5.815,3.715,4.806,-2.9,-0.0,4.439,2.609,4.0710000000000015,-1.715,-0.901,-0.725,-2.7030000000000003,-10.949000000000002,-14.497,-17.445999999999998,-22.006,-22.528,-15.946,-19.825,-22.787,-25.514,-24.716,-26.007,-26.734,-23.194000000000006,-24.331,-27.226,-26.674,-27.332,-29.722,-29.137,-12.322,-18.924
19189,Winnebago County,Iowa,True,,6.18,4.035,6.117000000000001,3.025,1.131,,,-9.282,3.025,7.1370000000000005,4.035,10.221,,,3.087,5.045,5.096,-2.025,9.084,,,-12.374,-14.144,-12.248,-17.174,-11.367,,,-18.559,-26.264,-33.673,-35.352,-36.363,,,-37.112,-44.442,-42.855,-42.422,-42.043,,
19191,Winneshiek County,Iowa,False,,5.709,5.499,4.916,5.073,9.372,6.874,2.151,6.346,7.952000000000001,4.916,8.257,9.372,10.321,,6.983,3.045,5.533,6.983,8.03,10.321,4.325,-8.301,-12.903,-22.858,-29.317,-32.903,-32.775,-34.799,-29.317,-34.372,-32.116,-29.953000000000007,-31.561,-32.775,-32.625,-31.227,-34.986,-33.967,-35.048,-34.245,-29.327,-39.146
19193,Woodbury County,Iowa,False,4.836,3.627,2.947,3.035,-1.956,-3.5660000000000003,2.231,4.228,4.204,2.483,3.777,2.272,2.27,4.262,6.66,1.224,2.39,2.107,0.7090000000000001,1.696,1.328,0.278,-7.524,-15.079,-17.555999999999994,-20.151,-24.615,-9.957,-23.122,-22.041,-25.208,-24.697,-27.043000000000006,-26.624,-16.05,-25.554,-25.695,-27.252,-27.851,-30.168000000000006,-30.452,-15.599,-26.162
19195,Worth County,Iowa,True,,-2.687,2.6460000000000004,2.681,1.331,-1.409,,,3.979,3.979,5.384,4.033,-6.964,,,-14.685,-12.019,-12.181,-10.83,-9.741,,,-12.019,-16.018,-13.531,-18.936,-20.85,,,-21.35,-24.017,-32.447,-31.097,-30.571,,,-29.349,-30.682,-29.745,-31.097,-34.736999999999995,,
19197,Wright County,Iowa,True,,4.165,-0.782,2.399,3.075,4.957,-4.167,,8.331,3.123,4.798,1.537,4.957,10.414,,6.665,3.905,3.998,-1.54,-1.654,2.082,,-7.5,-14.061,-15.999,-22.305,-20.659,-6.25,,-24.164,-31.246,-27.997,-29.996,-28.922,-8.333,,-24.997,-28.122,-27.997,-32.304,-31.401,2.082,-25.638
20001,Allen County,Kansas,True,,-4.918,1.5630000000000002,0.787,-1.538,6.0870000000000015,1.887,,5.738,2.344,-2.362,-0.769,-6.956,-5.66,,1.64,0.7809999999999999,1.575,-2.3080000000000003,5.2170000000000005,-7.5470000000000015,,-12.295,-13.281,-15.748,-25.385,-21.739,-15.094,-21.428,-15.573,-22.656,-22.834,-28.462,-21.739,-18.868,-14.286,-28.689,-34.375,-34.646,-36.923,-34.783,-32.075,-26.19
20003,Anderson County,Kansas,True,,2.822,2.744,8.576,0.005,0.005,,,4.23,1.375,8.576,1.375,-4.473,,,-2.812,-1.365,4.29,-1.365,1.497,,,-16.897000000000002,-20.544,-18.567,-27.393,-28.353,,,-23.939,-20.544,-21.424,-26.023000000000003,-26.861,,,-29.573,-31.502,-25.71,-32.872,-28.353,,
20005,Atchison County,Kansas,True,,5.784,-1.551,6.249,0.7559999999999999,26.212,-4.083,,6.6110000000000015,3.1,8.593,-2.274,11.649,-6.124,,-18.183,-19.381,-19.532,-20.455,-6.7970000000000015,-0.001,,-14.877,-22.482,-28.126,-29.547,-18.447,-12.246,-26.83,-31.406,-37.211,-36.72,-40.91,-27.186,-22.45,-26.83,-34.712,-41.862,-40.626,-41.668,-32.04,-22.45,-24.392
20009,Barton County,Kansas,False,-4.407,-6.245,2.672,2.1790000000000003,-0.8690000000000001,-1.359,1.141,1.475,1.79,3.116,0.875,-0.4320000000000001,-7.723,9.096,7.358,-7.584,-7.106,-6.952000000000001,-6.982,-10.904000000000002,-1.131,1.475,-12.942,-13.328,-14.778,-16.589000000000002,-21.359,-6.814,-13.23,-18.299,-17.773,-19.995,-21.393,-23.177,-17.041,-14.701,-24.995,-30.662,-31.299,-31.436,-31.359,-21.586,-23.524
20011,Bourbon County,Kansas,True,,2.398,1.536,7.029,6.347,3.446,-2.224,,7.199,1.536,7.811,8.728,-3.45,,,5.598,3.844,9.373,6.347,-8.623,,,-15.202,-21.54,-21.877,-23.811,-26.726,-6.667999999999998,-26.831,-32.801,-37.694,-33.596,-32.541,-38.795,-17.78,-29.27,-36.801,-36.925,-36.721,-33.335,-42.243,-20.002,-36.587
20013,Brown County,Kansas,True,,7.148,-2.217,1.117,-2.192,14.672,,,10.72,-1.106,-1.106,1.104,8.005,,,-8.328,-7.772,-9.995,-14.28,1.339,,,-11.899,-15.55,-21.106,-26.368,-18.661,,,-22.613000000000003,-26.661,-32.217,-28.566,-19.995,,,-30.947,-36.661,-35.55,-41.753,-30.661,,
20015,Butler County,Kansas,False,6.47,5.166,1.293,4.2,2.076,3.964,4.662,2.94,3.499,3.397,4.684,1.117,2.412,8.808,3.528,3.332,2.588,3.391,-0.001,-13.449000000000002,1.5530000000000002,-6.472,-20.501,-23.626,-26.495,-27.477,-27.415,-13.473,-21.178,-29.001,-32.202,-36.996,-38.02,-37.415,-22.281,-25.295,-42.00100000000001,-43.043,-43.135,-46.007,-43.104,-23.835,-30.001
20021,Cherokee County,Kansas,False,-9.09,3.176,0.996,3.002,0.504,1.5719999999999998,2.741,0.001,5.822,1.494,4.502,3.519,-3.14,1.371,-6.059,4.763,2.489,3.002,3.016,-1.569,-2.738,1.517,-10.052,-12.436,-15.999,-20.099,-22.511,-15.067,-22.726,-23.808000000000003,-30.347,-28.498,-30.149,-30.365,-16.437,-22.726,-21.692,-29.85,-27.499,-29.647,-34.554,-27.396,-33.332
20027,Clay County,Kansas,True,,1.411,7.045,5.482,0.002,-1.49,,,0.002,4.228,4.112,2.742,4.48,,,0.002,1.411,1.372,-1.368,-5.968,,,-16.899,-16.899,-20.546,-19.176,-20.894,,,-22.533,-22.533,-26.025,-26.025,-26.863000000000003,,,-32.392,-39.434,-39.724,-38.354,-38.803,,
20029,Cloud County,Kansas,True,,16.923,4.2860000000000005,6.7570000000000014,2.778,13.637,,,18.462,11.429,-0.0,6.945,10.606,,,-10.769,-12.857,-17.567,-16.666,-13.636,,,-4.615,-14.286,-10.811,-22.222,-9.091,,,-10.769,-22.857,-27.027,-22.222,-19.697,,,-24.615,-27.143,-29.729,-31.944000000000006,-28.788,,
20031,Coffey County,Kansas,True,,2.472,1.208,0.003,,0.003,,,3.706,6.027,-2.322,4.765,-9.719,,,2.472,3.617,3.491,-1.188,-11.108,,,-13.577,-13.25,-26.741,-23.807,-22.219,,,-22.219,-24.093000000000004,-26.741,-34.521,-34.72,,,-34.565,-34.937,-40.695,-42.855,-40.275,,
20035,Cowley County,Kansas,False,2.311,0.83,1.621,2.404,1.34,2.582,10.326,1.5419999999999998,0.83,0.273,3.2030000000000003,1.875,0.863,0.003,-3.074,-8.812000000000003,-9.43,-7.73,-10.692,-13.463,-1.932,-0.7659999999999999,-15.699000000000002,-18.595,-17.33,-18.178,-18.335,-10.964,-23.074,-21.759,-22.368,-25.063,-25.665,-24.352,-24.513,-28.458,-29.473000000000006,-36.115,-31.463,-31.28,-31.515,-26.448,-35.381
