,index,Cluster,County,R_0,R_{end_date},# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
43,334,5,"Williamsburg County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","5,700 (18.6)","1,016","30,606",3.05\%
44,114,5,"Caroline County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)",770 (2.5),208,"30,772",2.40\%
45,330,5,"Marion County, SC","3.662 (3.492,~3.832)","1.256 (1.202,~1.309)","2,390 (7.7)",554,"31,039",2.35\%
46,18,5,"Adams County, NE","0.773 (0.677,~0.863)","0.771 (0.659,~0.856)","1,561 (5.0)",353,"31,511",3.12\%
47,110,5,"Amherst County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)",0 (0.0),175,"31,666",0.00\%
48,36,5,"Dorchester County, MD","0.961 (0.796,~1.153)","0.857 (0.777,~0.933)",584 (1.8),371,"31,998",1.35\%
49,108,5,"Accomack County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)","2,466 (7.6)","1,100","32,412",1.45\%
50,52,5,"Bureau County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)",298 (0.9),205,"32,993",1.46\%
51,35,5,"Caroline County, MD","0.961 (0.796,~1.153)","0.857 (0.777,~0.933)",350 (1.1),451,"33,304",0.67\%
52,142,5,"Jasper County, IN","3.240 (3.038,~3.460)","0.981 (0.913,~1.050)",281 (0.8),243,"33,370",0.82\%
53,152,5,"Hot Spring County, AR","0.967 (0.889,~1.052)","0.986 (0.282,~1.177)","1,155 (3.4)","1,546","33,701",0.71\%
54,81,5,"Lee County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)",177 (0.5),114,"34,055",2.63\%
55,123,5,"Pulaski County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)",462 (1.4),89,"34,066",3.37\%
56,297,5,"Lincoln County, MS","3.292 (3.130,~3.450)","1.129 (1.072,~1.183)","7,396 (21.6)",817,"34,205",5.02\%
57,56,5,"Effingham County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)",99 (0.3),155,"34,208",0.65\%
58,87,5,"Wapello County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)","1,951 (5.5)",900,"35,205",3.67\%
59,184,5,"Greenup County, KY","1.335 (1.113,~1.825)","1.029 (0.941,~1.108)",128 (0.4),110,"35,268",0.91\%
60,63,5,"Livingston County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)",199 (0.6),115,"35,761",1.74\%
61,89,5,"Webster County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)",413 (1.1),801,"36,277",0.87\%
62,161,5,"Dare County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)",255 (0.7),209,"36,501",0.96\%
63,222,5,"Greene County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",35 (0.1),116,"36,506",0.86\%
64,248,5,"Steele County, MN","1.207 (1.037,~1.645)","1.081 (1.011,~1.150)",313 (0.9),348,"36,803",0.57\%
65,206,5,"Williams County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)",322 (0.9),135,"36,804",2.22\%
66,120,5,"Isle of Wight County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)","1,387 (3.8)",387,"36,953",2.33\%
67,39,5,"Talbot County, MD","0.961 (0.796,~1.153)","0.857 (0.777,~0.933)",467 (1.3),400,"36,968",1.00\%
68,282,5,"Dyer County, TN","0.967 (0.885,~1.059)","1.101 (1.008,~1.205)",787 (2.1),650,"37,320",1.23\%
69,158,5,"Alexander County, NC","3.545 (3.310,~3.852)","0.988 (0.677,~1.084)",255 (0.7),299,"37,353",0.67\%
70,53,5,"Clinton County, IL","4.041 (3.590,~4.475)","0.920 (0.820,~1.018)","1,692 (4.5)",407,"37,639",4.18\%
71,122,5,"Prince George County, VA","0.992 (0.898,~1.110)","0.943 (0.798,~1.018)",308 (0.8),384,"38,082",0.52\%
72,194,5,"Defiance County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)",430 (1.1),144,"38,165",2.78\%
73,133,5,"Dallas County, AL","3.505 (3.300,~3.715)","0.970 (0.281,~1.133)","2,365 (6.2)","1,323","38,310",1.74\%
74,144,5,"Montgomery County, IN","3.240 (3.038,~3.460)","0.981 (0.913,~1.050)","2,960 (7.7)",354,"38,346",5.93\%
75,197,5,"Guernsey County, OH","3.414 (3.217,~3.614)","1.034 (0.967,~1.099)",753 (1.9),117,"39,022",5.98\%
76,77,5,"Des Moines County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)",118 (0.3),179,"39,138",1.12\%
77,235,5,"Warren County, PA","1.144 (1.025,~1.315)","1.065 (0.954,~1.165)",35 (0.1),23,"39,498",4.35\%
78,299,5,"Pike County, MS","3.292 (3.130,~3.450)","1.129 (1.072,~1.183)","6,494 (16.4)",936,"39,563",3.85\%
79,83,5,"Marshall County, IA","0.988 (0.867,~1.235)","0.924 (0.863,~0.985)","1,537 (3.8)","1,444","39,981",1.80\%
80,244,5,"Mower County, MN","1.207 (1.037,~1.645)","1.081 (1.011,~1.150)",313 (0.8),"1,101","40,011",0.18\%
81,280,5,"Cheatham County, TN","0.967 (0.885,~1.059)","1.101 (1.008,~1.205)",689 (1.7),595,"40,439",1.18\%
82,239,5,"Benton County, MN","1.207 (1.037,~1.645)","1.081 (1.011,~1.150)",470 (1.2),320,"40,545",0.94\%
83,257,5,"Cooke County, TX","3.729 (3.543,~3.921)","1.081 (0.704,~1.171)",349 (0.9),223,"40,574",1.35\%
