FIPS,Rural-urban_Continuum Code_2013,Density per square mile of land area - Population
21221,2,32.5
21223,1,58.1
21225,6,43.8
21227,3,210.1
21229,9,39.4
21231,7,45.4
21233,8,41
21235,7,81.4
21237,9,33.1
21239,2,132.1
22000,NA,104.9
22001,2,94.3
22003,6,33.8
22005,2,369.7
22007,6,69.2
22009,6,50.5
22011,6,30.8
22013,6,17.7
22015,2,139.3
22017,2,290.2
22019,3,181.2
22021,8,19.1
22023,3,5.3
22025,9,14.7
22027,6,22.8
22029,7,29.9
22031,2,30.4
22033,2,966.6
22035,7,18.4
22037,2,44.7
22039,6,51.3
22041,7,33.2
22043,3,34.7
22045,2,127.6
22047,2,54
22049,6,28.6
22051,1,1463.1
22053,6,48.5
22055,2,824.6
22057,3,90.2
22059,6,23.8
22061,4,99.1
22063,2,197.5
22065,7,19.4
22067,6,35.2
22069,6,31.6
22071,1,2029.4
22073,3,251.8
22075,1,29.5
22077,2,40.9
22079,3,99.9
22081,8,23.4
22083,6,37.1
22085,6,28
22087,1,95.1
22089,1,189.1
22091,2,27.4
22093,1,91.5
22095,1,215.5
22097,4,90.3
22099,2,70.7
22101,4,98.4
22103,1,276.4
22105,3,153
22107,9,8.7
22109,3,90.8
22111,3,25.9
22113,2,49.4
22115,5,39.4
22117,6,70.4
22119,2,69.5
22121,2,123.6
22123,9,32.3
22125,2,38.8
22127,6,16.1
23000,NA,43.1
23001,3,230.2
23003,7,10.8
23005,2,337.2
23007,6,18.1
23009,6,34.3
23011,4,140.8
23013,7,108.8
23015,8,75.6
23017,6,27.8
23019,3,45.3
23021,8,4.4
23023,2,139.1
23025,6,13.3
23027,6,53.1
23029,7,12.8
23031,2,199
24000,NA,594.8
24001,3,177
24003,1,1295.9
24005,1,1345.5
24009,1,416.3
24011,6,103.5
24013,1,373.4
24015,1,292
24017,1,320.2
24019,6,60.3
24021,1,353.5
24023,6,46.5
24025,1,560.1
24027,1,1144.9
24029,6,72.9
24031,1,1978.2
24033,1,1788.8
24035,1,128.5
24037,3,294.4
24039,2,82.8
24041,6,140.7
24043,2,322.1
24045,2,263.7
24047,2,109.9
24510,1,7671.5
25000,NA,839.4
25001,3,548.3
25003,3,141.6
25005,1,991.3
25007,7,160.2
25009,1,1508.8
25011,4,102.1
25013,2,751
25015,2,299.8
25017,1,1837.9
25019,7,226.2
25021,1,1693.6
25023,1,750.9
25025,1,12415.6
25027,2,528.6
26000,NA,174.8
26001,9,16.2
26003,7,10.5
26005,4,135
26007,7,51.8
26009,9,49.6
26011,8,43.8
26013,9,9.9
26015,2,107
26017,3,243.7
26019,9,54.8
26021,3,276.2
26023,6,89.4
26025,3,192.8
26027,2,106.7
26029,7,62.3
26031,7,36.6
26033,7,24.7
26035,6,54.8
26037,2,133.1
26039,7,25.3
26041,5,31.7
26043,7,34.4
26045,2,187.4
26047,7,69.9
26049,2,668.5
26051,6,51.2
26053,7,14.9
26055,5,187.3
26057,6,74.7
26059,6,78.1
26061,5,36.3
26063,7,39.6
26065,2,505.1
26067,4,111.9
26069,7,47.1
26071,7,10.1
26073,4,122.8
26075,3,228.4
26077,2,445.7
26079,7,30.6
26081,2,711.5
26083,9,4
26085,9,20.3
26087,1,137.4
26089,9,62.5
26091,4,133.3
26093,1,320.2
26095,7,7.4
26097,7,10.9
26099,1,1754.9
26101,7,45.6
26103,5,37.1
26105,7,58
26107,6,77.1
26109,7,23
26111,3,162
26113,9,26.3
26115,3,276.7
26117,2,89.8
26119,9,17.9
26121,3,344.9
26123,6,59.6
26125,1,1385.7
26127,6,51.9
26129,9,38.5
26131,9,5.2
26133,9,41.5
26135,9,15.3
26137,7,46.9
