,FIPS,x,y,cluster
1642,31005,0.0005179789571048677,0.00027748872702046477,4
1643,31007,0.00045411897166447744,0.0001707637455432539,4
1644,31009,0.0006487889273356402,0.0003398418190805734,4
1645,31011,5.257382003744582e-05,1.7123836048232528e-05,4
1646,31013,2.586266687754378e-05,1.253059568142241e-05,4
1647,31015,0.00013657681464668598,6.907333154545039e-05,4
1648,31017,8.021515310628937e-05,4.1748083915685165e-05,4
1649,31019,4.0781618990260074e-06,2.058783195962128e-06,4
1650,31021,3.896028863302221e-05,1.6344316207023952e-05,4
1651,31023,2.9662090573054958e-05,1.1042429356635723e-05,4
1652,31025,9.662523633634801e-06,2.7736645276223308e-06,4
1653,31027,3.0518014488164535e-05,1.0093234006191302e-05,4
1654,31029,7.25822966593998e-05,2.339324892332572e-05,4
1655,31031,4.6943093190084794e-05,2.0880336059517816e-05,4
1656,31033,3.0458223201090035e-05,1.1941007959518252e-05,4
1657,31035,4.350776598084271e-05,1.737720891258658e-05,4
1658,31037,1.4595067824876519e-05,9.459766182790336e-06,4
1659,31039,2.143296848490308e-05,9.73429625292154e-06,4
1660,31041,2.5743453929004235e-05,1.0842036464645089e-05,4
1661,31043,7.891861630876785e-06,6.086874113667141e-06,1
1662,31045,2.4338985278349532e-05,1.790212005330198e-05,4
1663,31047,8.238503066234393e-06,5.0238679894290486e-06,4
1664,31049,0.00016873709889285042,6.425220491649466e-05,4
1665,31051,3.7983987877523794e-05,1.6690863816940986e-05,4
1666,31053,6.266356278668576e-06,2.5739195089461587e-06,4
1667,31055,3.347129852752949e-07,2.0001684478161093e-07,0
1668,31057,0.00017108749082319898,7.820230457403683e-05,4
1669,31059,4.815415247398587e-05,1.5516701748925427e-05,4
1670,31061,9.946896267440854e-05,4.355186704556061e-05,4
1671,31063,0.00011732423124694193,5.1605019007113556e-05,4
1672,31065,5.550751251899075e-05,2.6044448742703112e-05,4
1673,31067,1.1362724983118214e-05,5.117447487157831e-06,4
1674,31069,0.00014672335894230242,7.8641497311878e-05,4
1675,31071,0.00015779466380491818,6.408033698658796e-05,4
1676,31073,0.00013027056116240497,4.467853542756857e-05,4
1677,31075,0.00039026629935720846,0.00016069788797061526,4
1678,31077,0.00012881174676655492,5.296594902009391e-05,4
1679,31079,3.3954059589322935e-06,2.0653827354753044e-06,4
1680,31081,2.748541542806183e-05,6.885868757431629e-06,4
1681,31083,8.360133454357865e-05,3.2074555445364716e-05,4
1682,31085,0.00035992830037566024,0.00017638870349535667,4
1683,31087,9.474656943755084e-05,5.3850597106597254e-05,4
1684,31089,2.6295547044104427e-05,1.1680474274363568e-05,4
1685,31091,0.0003848436115960475,0.00011824803708258442,4
1686,31093,3.719371596392535e-05,1.553722067901766e-05,4
1687,31095,3.680951704305456e-05,1.630022302715631e-05,4
1688,31097,3.991204780825949e-05,2.1359774635028604e-05,4
1689,31099,4.081829376916686e-05,1.3800693145067281e-05,4
1690,31101,3.610706411316722e-05,1.4750582799567665e-05,4
1691,31103,0.00030940405426002133,0.00022557536960829142,4
1692,31105,7.33388520819525e-05,3.3842824450317666e-05,4
1693,31107,3.0022759311390204e-05,1.5491066599580097e-05,4
1694,31109,6.2437959173705e-07,3.7336014059050053e-07,3
1695,31111,8.055837706655752e-06,2.804559161486892e-06,4
1696,31113,0.0004688048684405197,0.00012299443316500326,4
1697,31115,0.0004739162765366932,0.0002749238068306784,4
1698,31117,0.0005494414700244563,0.000235474915724767,4
1699,31119,6.781129622574875e-06,3.1869872207815988e-06,4
1700,31121,4.006736601834848e-05,1.3562034157295751e-05,4
1701,31123,5.455722214662541e-05,3.0466428727956924e-05,4
1702,31125,7.054094645429139e-05,3.214422673655778e-05,4
1703,31127,3.185044649699206e-05,1.701995325131093e-05,4
1704,31129,6.125687399580352e-05,2.5855174089137842e-05,4
1705,31131,1.4218052602294006e-05,5.7294877538558835e-06,4
1706,31133,8.632357424635767e-05,5.1534307702256996e-05,4
1707,31135,9.196832140095846e-05,3.461925406347866e-05,4
1708,31137,2.7617135702424734e-05,1.023131470318017e-05,2
1709,31139,3.6307913376376374e-05,1.3527246344330293e-05,4
