,mean,se_mean,sd,n_eff,Rhat
"Rt_adj[77,41]",0.36719770111660865,0.06558513360366698,0.13224478837763814,4.065802857729458,1.6626588955663266
"Rt_adj[78,41]",0.36719760737309476,0.065585111500143,0.1322447075261848,4.065800626766895,1.6626594111527453
"Rt_adj[79,41]",0.36719752196856503,0.06558509145255728,0.13224463340113363,4.0657985544971,1.6626598900679876
"Rt_adj[80,41]",0.36719744414799294,0.06558507327359982,0.13224456543566535,4.065796629290827,1.6626603349820215
"Rt_adj[81,41]",0.367197373225938,0.06558505679258667,0.1322445031111165,4.065794840418449,1.6626607483617561
"Rt_adj[82,41]",0.36719730858001226,0.06558504185404182,0.13224444595288196,4.065793177973844,1.6626611324877085
"Rt_adj[83,41]",0.3671972496449716,0.0655850283163898,0.13224439352666284,4.065791632805797,1.6626614894691363
"Rt_adj[84,41]",0.36719719590737254,0.06558501605075619,0.1322443454350317,4.065790196455515,1.6626618212577946
"Rt_adj[85,41]",0.36719714690073857,0.06558500493986377,0.13224430131428827,4.0657888611001445,1.6626621296604698
"Rt_adj[86,41]",0.3671971022011861,0.06558499487702031,0.13224426083158308,4.065787619501428,1.6626624163504071
"Rt_adj[87,41]",0.3671970614234668,0.06558498576519094,0.13224422368228492,4.065786464958834,1.6626626828777469
"Rt_adj[88,41]",0.36719702421738326,0.06558497751614692,0.13224418958757309,4.065785391267055,1.6626629306790663
"Rt_adj[89,41]",0.36719699026454533,0.06558497004968682,0.13224415829223493,4.065784392677137,1.6626631610861118
"Rt_adj[90,41]",0.5563168690675238,0.2675649991396265,0.390222799817138,2.1269960234521257,4.654492011452838
"Rt_adj[91,41]",0.5563167867523277,0.26756492957352296,0.3902226987870349,2.1269960281033775,4.6544920795799385
"Rt_adj[92,41]",0.5563167111391282,0.26756486559684123,0.3902226058691368,2.126996032323661,4.6544921452531245
"Rt_adj[93,41]",0.5563166393341856,0.2675648039673682,0.39022251656481244,2.1269960386190583,4.654492164710127
"Rt_adj[94,41]",0.5563165692217624,0.26756474235164307,0.39022242762971676,2.1269960487210113,4.654492107877014
"Rt_adj[95,41]",0.5563164995911535,0.2675646794779484,0.39022233728416533,2.1269960634473164,4.654491960839133
"Rt_adj[96,41]",0.5563164298148945,0.2675646147543428,0.39022224468686356,2.1269960830378736,4.654491719892946
"Rt_adj[97,41]",0.6824716983994115,0.2227734513877299,0.3444014291537113,2.390028189037797,2.8292635556239922
"Rt_adj[98,41]",0.6824716150915998,0.22277338892790655,0.3444013357175126,2.390028232409484,2.8292635119883367
"Rt_adj[99,41]",0.6824715320306626,0.2227733242489433,0.34440124034132036,2.390028296471574,2.829263400767001
"Rt_adj[100,41]",0.6824714487508328,0.22277325743906473,0.34440114289436885,2.3900283775161077,2.8292632347494466
"Rt_adj[101,41]",0.6824713648902389,0.22277318855651795,0.3444010432665545,2.3900284727651284,2.8292630235196836
"Rt_adj[102,41]",0.6824712802079028,0.2227731176185701,0.3444009413672171,2.390028580589845,2.829262772699271
"Rt_adj[103,41]",0.682471194545852,0.22277304461307953,0.34440083711765607,2.3900287001584886,2.82926248516643
"Rt_adj[104,41]",0.6824711077938642,0.2227729695103056,0.3444007304451221,2.390028831099506,2.8292621622203833
"Rt_adj[105,41]",0.6824710198661549,0.22277289227082334,0.3444006212790247,2.39002897327911,2.829261804348798
"Rt_adj[106,41]",0.6824709306881424,0.22277281284995704,0.34440050954880547,2.390029126676622,2.829261411657059
"Rt_adj[107,41]",0.6824708401896913,0.22277273119997237,0.34440039518284327,2.390029291322245,2.829260984081932
"Rt_adj[108,41]",0.6824707483019762,0.22277264727103502,0.34440027810792967,2.3900294672692115,2.829260521486723
"Rt_adj[109,41]",0.6824706549561642,0.2227725610115666,0.3444001582490313,2.3900296545828486,2.8292600236982333
"Rt_adj[110,41]",0.6824705600829271,0.2227724723683299,0.3444000355291822,2.390029853337254,2.829259490518139
"Rt_adj[111,41]",0.6824704636122848,0.22277238128642157,0.34439990986942765,2.390030063614676,2.8292589217246413
"Rt_adj[112,41]",0.6824703654735588,0.22277228770922933,0.3443997811887828,2.3900302855058557,2.829258317071226
"Rt_adj[113,41]",0.6824702655953447,0.2227721915783847,0.3443996494041918,2.3900305191104727,2.829257676285127
"Rt_adj[114,41]",0.683284734110537,0.21997014256856162,0.3406599472775987,2.398361683175757,2.81191133066956
"Rt_adj[115,41]",0.683284631736077,0.21997004296600223,0.3406598116933731,2.3983619460159846,2.8119106313298285
"Rt_adj[116,41]",0.6832845274500636,0.21996994068612027,0.34065967283490783,2.398362221135324,2.811909895431123
"Rt_adj[117,41]",0.6832844212135063,0.21996983570519618,0.3406595306642368,2.3983625085164517,2.811909123040862
"Rt_adj[118,41]",0.6832843129796826,0.21996972798959952,0.3406593851309756,2.398362808183304,2.8119083141096666
"Rt_adj[119,41]",0.683284202690815,0.21996961749196065,0.34065923616742483,2.3983631202156146,2.8119074684301633
"Rt_adj[120,41]",0.6832840902813244,0.21996950415502606,0.3406590836934677,2.398363444733803,2.8119065856796093
"Rt_adj[121,41]",0.6832839756809648,0.21996938791537052,0.3406589276212893,2.3983637818844765,2.8119056654610404
"Rt_adj[122,41]",0.6832838588167638,0.21996926870572106,0.3406587678583151,2.3983641318311317,2.811904707329192
"Rt_adj[123,41]",0.6832837396139974,0.21996914645613957,0.34065860430870726,2.3983644947494334,2.8119037108039815
"Rt_adj[124,41]",0.6832836179965815,0.2199690210945247,0.34065843687398734,2.3983648708250414,2.8119026753764533
"Rt_adj[125,41]",0.6832834938871823,0.21996889254677554,0.3406582654532339,2.39836526025282,2.8119016005109945
"Rt_adj[126,41]",0.6832833672072033,0.21996876073680666,0.34065808994309416,2.398365663236673,2.8119004856459084
"Rt_adj[127,41]",0.6832832378767233,0.2199686255865097,0.3406579102377198,2.3983660799894877,2.8118993301932886
"Rt_adj[128,41]",0.6832831058144232,0.21996848701568814,0.3406577262286823,2.398366510733351,2.8118981335387114
"Rt_adj[129,41]",0.6832829709375201,0.2199683449420089,0.34065753780490093,2.398366955699602,2.811896895041006
"Rt_adj[130,41]",0.6832828331616997,0.21996819928094513,0.3406573448525606,2.3983674151289165,2.8118956140319242
"Rt_adj[131,41]",0.6832826924010479,0.21996804994572028,0.340657147255035,2.398367889271449,2.8118942898158634
"Rt_adj[132,41]",0.6832825485679881,0.219967896847254,0.340656944892811,2.398368378386945,2.81189292166958
"Rt_adj[133,41]",0.6832824015732167,0.21996773989410948,0.34065673764341176,2.39836888274481,2.8118915088418808
"Rt_adj[134,41]",0.6832822513256371,0.21996757899243233,0.3406565253813166,2.3983694026243083,2.811890050553296
"Rt_adj[135,41]",0.6832820977322952,0.21996741404589865,0.3406563079778825,2.398369938314598,2.8118885459957745
"Rt_adj[136,41]",0.6832819406983129,0.21996724495565262,0.34065608530126135,2.398370490114921,2.8118869943322875
"Rt_adj[137,41]",0.6832817801268221,0.21996707162024606,0.34065585721631514,2.39837105833473,2.8118853946964615
"Rt_adj[138,41]",0.683281615918895,0.21996689393557511,0.34065562358452994,2.3983716432938564,2.8118837461921653
"Rt_adj[139,41]",0.6832814479734773,0.2199667117948186,0.3406553842639267,2.3983722453226,2.8118820478930893
"Rt_adj[140,41]",0.6832812761873172,0.21996652508836653,0.34065513910897,2.398372864762004,2.811880298842285
"Rt_adj[141,41]",0.6832811004548931,0.21996633370375515,0.3406548879704746,2.3983735019639543,2.8118784980517013
"Rt_adj[142,41]",0.6832809206683433,0.21996613752559635,0.34065463069550933,2.3983741572913644,2.811876644501682
"Rt_adj[143,41]",0.6832807367173911,0.2199659364355044,0.3406543671272984,2.3983748311183892,2.81187473714045
"Rt_adj[144,41]",0.6832805484892697,0.21996573031202174,0.34065409710512057,2.3983755238306173,2.811872774883564
"Rt_adj[145,41]",0.6832803558686464,0.21996551903054162,0.34065382046420506,2.398376235825297,2.8118707566133567
"Rt_adj[146,41]",0.6832801587375448,0.21996530246323218,0.3406535370356252,2.398376967511491,2.8118686811783444
"Rt_adj[147,41]",0.6832799569752649,0.21996508047895316,0.34065324664618896,2.3983777193103584,2.8118665473926154
"Rt_adj[148,41]",0.6832797504583021,0.21996485294317214,0.34065294911832705,2.398378491655396,2.8118643540352024
"Rt_adj[149,41]",0.6832795390602654,0.21996461971788311,0.34065264426997766,2.3983792849925996,2.8118620998494164
"Rt_adj[150,41]",0.6832793226517917,0.2199643806615136,0.34065233191446825,2.3983800997808222,2.811859783542169
"Rt_adj[151,41]",0.6832791011004611,0.2199641356288393,0.3406520118603944,2.39838093649193,2.811857403783267
"Rt_adj[152,41]",0.6832788742707078,0.21996388447088833,0.3406516839114955,2.3983817956111397,2.81185495920468
"Rt_adj[153,41]",0.6832786420237301,0.21996362703484695,0.3406513478665268,2.3983826776372763,2.811852448399786
"Rt_adj[154,41]",0.6832784042173998,0.21996336316396284,0.3406510035191287,2.3983835830830382,2.8118498699225922
"Rt_adj[155,41]",0.6832781607061665,0.2199630926974429,0.3406506506576919,2.398384512475329,2.8118472222869273
"Rt_adj[156,41]",0.6832779113409623,0.21996281547035232,0.34065028906521966,2.398385466355522,2.81184450396561
"Rt_adj[157,41]",0.6832776559691028,0.219962531313507,0.3406499185191856,2.3983864452797996,2.811841713389594
"Rt_adj[158,41]",0.6832773944341878,0.2199622400533664,0.3406495387913889,2.398387449819459,2.8118388489470787
"Rt_adj[159,41]",0.6832771265759964,0.21996194151191945,0.34064914964780446,2.398388480561282,2.8118359089826033
"Rt_adj[160,41]",0.6832768522303829,0.21996163550657225,0.3406487508484301,2.398389538107838,2.8118328917961026
"Rt_adj[161,41]",0.6832765712291681,0.21996132185002953,0.34064834214712875,2.398390623077847,2.8118297956419447
"Rt_adj[162,41]",0.6832762834000289,0.2199610003501732,0.3406479232914675,2.398391736106563,2.8118266187279306
