,index,Cluster,County,R_0 (std),R_8/2 (std),# (\%) infected as predicted,Measured cases,Population,Fatality rate (measured death/cases)
919,1159,1,"Suwannee County, FL",3.647 (0.407),1.276 (0.029),"5,105 (11.6)","1,171","44,191",2.73\%
920,429,1,"Madison County, OH",3.557 (0.092),1.017 (0.031),"1,219 (2.7)",329,"44,413",3.04\%
921,388,1,"Thomas County, GA",3.128 (0.064),1.014 (0.014),"5,578 (12.6)",997,"44,448",3.91\%
922,588,1,"Vance County, NC",3.679 (0.104),1.032 (0.056),"4,832 (10.8)",731,"44,582",5.47\%
923,199,1,"Shelby County, IN",3.361 (0.085),0.954 (0.022),"3,034 (6.8)",509,"44,593",5.11\%
924,722,1,"Stephenson County, IL",3.133 (0.391),1.060 (0.041),761 (1.7),317,"44,753",1.89\%
925,295,1,"Baldwin County, GA",3.128 (0.064),1.014 (0.014),"5,435 (12.1)",965,"44,823",3.94\%
926,892,1,"Callaway County, MO",3.517 (0.096),1.213 (0.041),151 (0.3),125,"44,889",0.80\%
927,694,1,"Washington County, MS",3.376 (0.067),1.058 (0.020),"5,126 (11.4)","1,480","45,063",2.16\%
928,755,1,"Hopkins County, KY",3.302 (0.115),1.076 (0.034),"4,611 (10.2)",403,"45,068",8.19\%
929,865,1,"Itasca County, MN",1.012 (0.032),1.172 (0.034),"1,727 (3.8)",129,"45,108",9.30\%
930,267,1,"Barron County, WI",1.463 (0.432),0.998 (0.030),327 (0.7),255,"45,164",1.18\%
931,506,1,"Greene County, AR",3.130 (0.340),1.030 (0.207),154 (0.3),383,"45,325",0.26\%
932,428,1,"Logan County, OH",3.557 (0.092),1.017 (0.031),121 (0.3),120,"45,358",0.83\%
933,35,1,"Habersham County, GA",0.801 (0.034),0.906 (0.032),"6,120 (13.5)","1,037","45,388",4.63\%
934,569,1,"McDowell County, NC",3.679 (0.104),1.032 (0.056),"1,087 (2.4)",604,"45,507",1.49\%
935,314,1,"Colquitt County, GA",3.128 (0.064),1.014 (0.014),"3,147 (6.9)","1,481","45,592",1.49\%
936,1063,1,"Kendall County, TX",3.777 (0.083),1.235 (0.028),409 (0.9),145,"45,641",1.38\%
937,182,1,"Lawrence County, IN",3.361 (0.085),0.954 (0.022),"3,151 (6.9)",326,"45,668",8.28\%
938,105,1,"Hillsdale County, MI",2.875 (0.075),0.935 (0.074),"2,754 (6.0)",251,"45,749",9.96\%
939,844,1,"Chesterfield County, SC",1.243 (0.034),1.159 (0.024),"3,319 (7.3)",696,"45,754",2.73\%
940,409,1,"Auglaize County, OH",3.557 (0.092),1.017 (0.031),609 (1.3),213,"45,804",2.35\%
941,893,1,"Camden County, MO",3.517 (0.096),1.213 (0.041),606 (1.3),300,"45,815",1.33\%
942,772,1,"Nelson County, KY",3.302 (0.115),1.076 (0.034),279 (0.6),189,"45,851",1.06\%
943,693,1,"Warren County, MS",3.376 (0.067),1.058 (0.020),"4,165 (9.0)",964,"46,176",2.70\%
944,183,1,"Marshall County, IN",3.361 (0.085),0.954 (0.022),"2,568 (5.6)",742,"46,248",2.96\%
945,974,1,"Monroe County, TN",3.637 (0.079),1.226 (0.025),"1,638 (3.5)",356,"46,357",2.53\%
946,31,1,"Santa Cruz County, AZ",0.918 (0.058),0.890 (0.053),"6,456 (13.9)","2,608","46,511",1.92\%
947,36,1,"Washington Parish, LA",3.128 (0.350),0.914 (0.185),"6,773 (14.5)","1,193","46,582",4.86\%
948,811,1,"Osage County, OK",2.922 (0.079),1.090 (0.027),"1,452 (3.1)",366,"47,014",3.01\%
949,539,1,"Beaufort County, NC",3.679 (0.104),1.032 (0.056),241 (0.5),348,"47,079",0.57\%
950,468,1,"Lincoln Parish, LA",3.373 (0.067),1.018 (0.130),"3,301 (7.0)",716,"47,196",3.35\%
951,802,1,"Logan County, OK",2.922 (0.079),1.090 (0.027),132 (0.3),185,"47,291",0.54\%
952,351,1,"Laurens County, GA",3.128 (0.064),1.014 (0.014),572 (1.2),749,"47,325",0.53\%
953,656,1,"Hancock County, MS",3.376 (0.067),1.058 (0.020),"2,242 (4.7)",326,"47,334",4.29\%
954,187,1,"Noble County, IN",3.361 (0.085),0.954 (0.022),"3,268 (6.9)",635,"47,532",4.41\%
955,175,1,"Henry County, IN",3.361 (0.085),0.954 (0.022),"2,101 (4.4)",361,"48,271",4.99\%
956,1153,1,"Jackson County, FL",3.647 (0.407),1.276 (0.029),"5,264 (10.9)","1,613","48,305",2.05\%
957,777,1,"Shelby County, KY",3.302 (0.115),1.076 (0.034),"3,074 (6.3)",708,"48,518",3.11\%
958,443,1,"Shelby County, OH",3.557 (0.092),1.017 (0.031),487 (1.0),157,"48,627",2.55\%
959,787,1,"Cherokee County, OK",2.922 (0.079),1.090 (0.027),132 (0.3),346,"48,675",0.29\%
960,482,1,"Vernon Parish, LA",3.373 (0.067),1.018 (0.130),"3,026 (6.2)",684,"48,860",3.22\%
961,233,1,"Dale County, AL",3.438 (0.069),0.979 (0.238),"3,057 (6.2)",776,"48,956",2.45\%
962,936,1,"Bedford County, TN",3.637 (0.079),1.226 (0.025),"1,820 (3.7)",862,"49,038",1.16\%
963,952,1,"Gibson County, TN",3.637 (0.079),1.226 (0.025),364 (0.7),558,"49,045",0.36\%
964,1088,1,"Navarro County, TX",3.777 (0.083),1.235 (0.028),"1,638 (3.3)",767,"49,565",1.04\%
965,164,1,"Dearborn County, IN",3.361 (0.085),0.954 (0.022),"3,268 (6.6)",461,"49,568",6.07\%
966,675,1,"Oktibbeha County, MS",3.376 (0.067),1.058 (0.020),"5,607 (11.3)","1,052","49,599",3.33\%
967,126,1,"Buffalo County, NE",0.970 (0.028),0.939 (0.027),129 (0.3),347,"49,615",0.29\%
968,1067,1,"Lamar County, TX",3.777 (0.083),1.235 (0.028),"3,276 (6.6)",620,"49,728",2.58\%
969,479,1,"St. Mary Parish, LA",3.373 (0.067),1.018 (0.130),"6,739 (13.5)","1,434","49,774",3.42\%
970,800,1,"Le Flore County, OK",2.922 (0.079),1.090 (0.027),132 (0.3),236,"49,980",0.42\%
971,1098,1,"Polk County, TX",3.777 (0.083),1.235 (0.028),"1,842 (3.7)",659,"50,031",1.37\%
972,1131,1,"Wilson County, TX",3.777 (0.083),1.235 (0.028),"3,276 (6.5)",414,"50,224",3.86\%
973,992,1,"Atascosa County, TX",3.777 (0.083),1.235 (0.028),"3,071 (6.1)",405,"50,310",3.70\%
974,558,1,"Halifax County, NC",3.679 (0.104),1.032 (0.056),724 (1.4),639,"50,574",0.94\%
975,746,1,"Franklin County, KY",3.302 (0.115),1.076 (0.034),698 (1.4),255,"50,815",1.96\%
976,1083,1,"Medina County, TX",3.777 (0.083),1.235 (0.028),"4,914 (9.7)",594,"50,921",4.04\%
977,718,1,"Ogle County, IL",3.133 (0.391),1.060 (0.041),634 (1.2),371,"50,923",1.35\%
978,608,1,"Henry County, VA",0.929 (0.040),1.044 (0.028),735 (1.4),511,"50,953",1.17\%
979,710,1,"Grundy County, IL",3.133 (0.391),1.060 (0.041),634 (1.2),281,"50,972",1.78\%
980,289,1,"Waupaca County, WI",1.463 (0.432),0.998 (0.030),"1,635 (3.2)",370,"51,128",4.05\%
981,415,1,"Darke County, OH",3.557 (0.092),1.017 (0.031),"3,292 (6.4)",316,"51,323",8.54\%
982,243,1,"Jackson County, AL",3.438 (0.069),0.979 (0.238),482 (0.9),816,"51,736",0.37\%
983,825,1,"Washington County, OK",2.922 (0.079),1.090 (0.027),"5,151 (9.9)",571,"51,843",6.83\%
984,226,1,"Coffee County, AL",3.438 (0.069),0.979 (0.238),804 (1.5),703,"51,909",0.71\%
985,553,1,"Edgecombe County, NC",3.679 (0.104),1.032 (0.056),"1,328 (2.6)",579,"52,005",1.90\%
986,920,1,"Pulaski County, MO",3.517 (0.096),1.213 (0.041),151 (0.3),180,"52,014",0.56\%
987,1065,1,"Kerr County, TX",3.777 (0.083),1.235 (0.028),"1,228 (2.3)",348,"52,405",1.72\%
988,123,1,"Tuscola County, MI",2.875 (0.075),0.935 (0.074),"2,975 (5.7)",307,"52,516",8.79\%
989,1009,1,"Cherokee County, TX",3.777 (0.083),1.235 (0.028),819 (1.6),783,"52,592",0.51\%
990,24,1,"St. Charles Parish, LA",2.976 (0.127),0.812 (0.171),"7,615 (14.4)","1,367","52,879",3.66\%
991,968,1,"Loudon County, TN",3.637 (0.079),1.226 (0.025),546 (1.0),649,"53,054",0.46\%
992,1125,1,"Waller County, TX",3.777 (0.083),1.235 (0.028),614 (1.2),399,"53,126",0.75\%
993,982,1,"Roane County, TN",3.637 (0.079),1.226 (0.025),182 (0.3),356,"53,140",0.28\%
994,969,1,"McMinn County, TN",3.637 (0.079),1.226 (0.025),"3,641 (6.8)",479,"53,285",4.18\%
995,701,1,"Boone County, IL",3.133 (0.391),1.060 (0.041),"2,920 (5.5)",728,"53,577",3.16\%
996,478,1,"St. Martin Parish, LA",3.373 (0.067),1.018 (0.130),"5,776 (10.8)","1,501","53,621",2.80\%
997,307,1,"Camden County, GA",3.128 (0.064),1.014 (0.014),572 (1.1),670,"53,677",0.60\%
998,407,1,"Ashland County, OH",3.557 (0.092),1.017 (0.031),365 (0.7),130,"53,745",2.31\%
999,963,1,"Jefferson County, TN",3.637 (0.079),1.226 (0.025),364 (0.7),489,"54,012",0.41\%
1000,634,1,"Washington County, VA",0.929 (0.040),1.044 (0.028),490 (0.9),181,"54,402",2.21\%
1001,1106,1,"Rusk County, TX",3.777 (0.083),1.235 (0.028),409 (0.8),332,"54,450",0.60\%
1002,227,1,"Colbert County, AL",3.438 (0.069),0.979 (0.238),"1,931 (3.5)","1,076","54,762",1.12\%
1003,562,1,"Hoke County, NC",3.679 (0.104),1.032 (0.056),966 (1.8),670,"54,764",1.19\%
1004,665,1,"Lafayette County, MS",3.376 (0.067),1.058 (0.020),"1,441 (2.6)",869,"54,793",1.04\%
1005,442,1,"Seneca County, OH",3.557 (0.092),1.017 (0.031),365 (0.7),153,"55,207",1.96\%
1006,793,1,"Grady County, OK",2.922 (0.079),1.090 (0.027),792 (1.4),409,"55,551",1.47\%
1007,215,1,"Autauga County, AL",3.438 (0.069),0.979 (0.238),"3,218 (5.8)","1,010","55,601",1.98\%
1008,550,1,"Columbus County, NC",3.679 (0.104),1.032 (0.056),"5,557 (10.0)",826,"55,655",5.57\%
1009,945,1,"Coffee County, TN",3.637 (0.079),1.226 (0.025),364 (0.7),411,"55,700",0.49\%
1010,931,1,"Taney County, MO",3.517 (0.096),1.213 (0.041),455 (0.8),428,"55,852",0.70\%
1011,567,1,"Lenoir County, NC",3.679 (0.104),1.032 (0.056),"1,449 (2.6)",535,"55,976",2.24\%
1012,1123,1,"Van Zandt County, TX",3.777 (0.083),1.235 (0.028),614 (1.1),332,"56,019",0.90\%
1013,12,1,"La Plata County, CO",2.912 (0.092),0.810 (0.238),210 (0.4),200,"56,310",1.00\%
1014,842,1,"Cherokee County, SC",1.243 (0.034),1.159 (0.024),"4,368 (7.7)",549,"57,078",4.55\%
1015,1046,1,"Hardin County, TX",3.777 (0.083),1.235 (0.028),"2,252 (3.9)",811,"57,207",1.36\%
1016,334,1,"Gordon County, GA",3.128 (0.064),1.014 (0.014),"3,290 (5.7)","1,014","57,685",2.27\%
1017,911,1,"Lincoln County, MO",3.517 (0.096),1.213 (0.041),151 (0.3),301,"57,686",0.33\%
1018,445,1,"Union County, OH",3.557 (0.092),1.017 (0.031),121 (0.2),214,"57,835",0.47\%
1019,217,1,"Blount County, AL",3.438 (0.069),0.979 (0.238),482 (0.8),722,"57,840",0.42\%
1020,989,1,"Anderson County, TX",3.777 (0.083),1.235 (0.028),"1,638 (2.8)","2,209","58,057",0.36\%
1021,438,1,"Pickaway County, OH",3.557 (0.092),1.017 (0.031),"5,121 (8.8)","2,352","58,086",1.79\%
1022,1082,1,"Maverick County, TX",3.777 (0.083),1.235 (0.028),"7,985 (13.7)","1,989","58,485",1.96\%
1023,426,1,"Huron County, OH",3.557 (0.092),1.017 (0.031),487 (0.8),371,"58,504",1.08\%
1024,441,1,"Sandusky County, OH",3.557 (0.092),1.017 (0.031),"2,072 (3.5)",329,"58,799",5.17\%
1025,879,1,"Otter Tail County, MN",1.012 (0.032),1.172 (0.034),431 (0.7),175,"58,812",1.71\%
1026,552,1,"Duplin County, NC",3.679 (0.104),1.032 (0.056),"5,074 (8.6)","1,937","58,856",2.17\%
1027,669,1,"Lowndes County, MS",3.376 (0.067),1.058 (0.020),"5,126 (8.7)",973,"58,930",3.29\%
